Vị trí,Hướng,Tiện ích,Cơ sở hạ tầng,Xu hướng,Diện tích,Giá
Thành phố,Tây,Đầy đủ,Thiếu,Đang xuống,169,1.6731
Nông thôn,Nam,Đầy đủ,Chưa hoàn thiện,Đang lên,117,1.521
Thành phố,Nam,Thiếu,Chưa hoàn thiện,Đang lên,156,2.106
Thành phố,Tây,Thiếu,Chưa hoàn thiện,Ổn định,146,1.547
Thành phố,Tây,Thiếu,Thiếu,Ổn định,170,1.683
Nông thôn,Tây,Đầy đủ,Thiếu,Đang lên,171,1.898
Thành phố,Nam,Đầy đủ,Thiếu,Ổn định,114,1.345
Thành phố,Nam,Đầy đủ,Chưa hoàn thiện,Đang lên,131,1.860
Thành phố,Đông,Đầy đủ,Đầu đủ,Đang lên,182,2.675
Nông thôn,Bắc,Thiếu,Đầu đủ,Ổn định,134,1.581
Nông thôn,Nam,Thiếu,Thiếu,Đang lên,182,2.020
Nông thôn,Tây,Thiếu,Thiếu,Ổn định,97,0.746
Nông thôn,Nam,Đầy đủ,Đầu đủ,Ổn định,104,1.352
Thành phố,Bắc,Thiếu,Thiếu,Đang lên,170,2.091
Nông thôn,Tây,Đầy đủ,Đầu đủ,Đang xuống,168,1.864
Thành phố,Đông,Thiếu,Đầu đủ,Đang lên,109,1.417
Thành phố,Nam,Thiếu,Thiếu,Ổn định,186,2.064
Nông thôn,Tây,Thiếu,Chưa hoàn thiện,Đang xuống,149,1.221
Nông thôn,Bắc,Thiếu,Thiếu,Đang xuống,94,0.723
Thành phố,Đông,Thiếu,Đầu đủ,Ổn định,199,2.447
Thành phố,Đông,Đầy đủ,Thiếu,Ổn định,189,2.097
Thành phố,Đông,Đầy đủ,Chưa hoàn thiện,Ổn định,164,2.017
Nông thôn,Tây,Đầy đủ,Đầu đủ,Đang xuống,194,2.153
Thành phố,Đông,Đầy đủ,Đầu đủ,Đang xuống,87,0.983
Thành phố,Bắc,Đầy đủ,Đầu đủ,Ổn định,163,2.396
Thành phố,Bắc,Thiếu,Chưa hoàn thiện,Đang lên,96,1.200
Thành phố,Nam,Thiếu,Đầu đủ,Đang lên,115,1.633
Nông thôn,Bắc,Đầy đủ,Chưa hoàn thiện,Đang lên,88,1.100
Thành phố,Đông,Đầy đủ,Đầu đủ,Ổn định,78,0.975
Thành phố,Tây,Thiếu,Thiếu,Ổn định,112,1.052
Nông thôn,Nam,Thiếu,Chưa hoàn thiện,Ổn định,124,1.314
Thành phố,Đông,Đầy đủ,Đầu đủ,Đang lên,123,1.746
Nông thôn,Bắc,Đầy đủ,Thiếu,Đang xuống,197,1.950
Nông thôn,Nam,Thiếu,Đầu đủ,Đang xuống,77,0.777
Nông thôn,Đông,Đầy đủ,Thiếu,Ổn định,123,1.156
Thành phố,Nam,Đầy đủ,Đầu đủ,Ổn định,130,1.846
Nông thôn,Nam,Thiếu,Đầu đủ,Ổn định,110,1.298
Thành phố,Bắc,Đầy đủ,Đầu đủ,Đang xuống,134,1.742
Nông thôn,Tây,Thiếu,Chưa hoàn thiện,Ổn định,78,0.694
Nông thôn,Đông,Thiếu,Chưa hoàn thiện,Đang lên,147,1.558
Thành phố,Bắc,Đầy đủ,Thiếu,Đang lên,141,1.833
Thành phố,Đông,Đầy đủ,Đầu đủ,Đang xuống,172,2.115
Thành phố,Tây,Thiếu,Thiếu,Đang lên,159,1.764
Nông thôn,Tây,Thiếu,Đầu đủ,Đang xuống,111,1.043
Thành phố,Bắc,Đầy đủ,Đầu đủ,Ổn định,135,1.917
Thành phố,Nam,Đầy đủ,Đầu đủ,Đang xuống,183,2.470
Nông thôn,Tây,Thiếu,Thiếu,Ổn định,196,1.705
Nông thôn,Tây,Đầy đủ,Chưa hoàn thiện,Đang lên,152,1.869
Nông thôn,Tây,Đầy đủ,Thiếu,Đang lên,188,2.086
Thành phố,Đông,Thiếu,Đầu đủ,Đang xuống,197,2.186
Thành phố,Tây,Thiếu,Chưa hoàn thiện,Đang lên,148,1.746
Thành phố,Nam,Đầy đủ,Đầu đủ,Ổn định,162,2.381
Thành phố,Bắc,Đầy đủ,Chưa hoàn thiện,Đang xuống,96,1.084
Thành phố,Bắc,Thiếu,Thiếu,Ổn định,87,0.878
Thành phố,Đông,Đầy đủ,Đầu đủ,Đang xuống,89,1.005
Thành phố,Nam,Thiếu,Đầu đủ,Ổn định,196,2.646
Nông thôn,Bắc,Thiếu,Đầu đủ,Đang xuống,173,1.920
Nông thôn,Nam,Đầy đủ,Thiếu,Ổn định,117,1.240
Thành phố,Tây,Thiếu,Đầu đủ,Đang lên,124,1.612
Thành phố,Đông,Đầy đủ,Thiếu,Đang xuống,161,1.593
Thành phố,Bắc,Thiếu,Đầu đủ,Ổn định,173,2.335
Nông thôn,Tây,Đầy đủ,Đầu đủ,Đang xuống,126,1.335
Nông thôn,Đông,Thiếu,Đầu đủ,Đang xuống,146,1.372
Nông thôn,Đông,Thiếu,Thiếu,Đang lên,172,1.702
Nông thôn,Bắc,Thiếu,Thiếu,Đang xuống,128,1.049
Thành phố,Nam,Đầy đủ,Đầu đủ,Đang lên,89,1.326
Nông thôn,Đông,Đầy đủ,Thiếu,Đang xuống,176,1.531
Thành phố,Bắc,Thiếu,Thiếu,Đang lên,189,2.324
Thành phố,Nam,Đầy đủ,Chưa hoàn thiện,Đang lên,123,1.746
Nông thôn,Bắc,Đầy đủ,Đầu đủ,Đang lên,108,1.533
Thành phố,Nam,Đầy đủ,Chưa hoàn thiện,Ổn định,107,1.391
Thành phố,Bắc,Đầy đủ,Thiếu,Ổn định,161,1.980
Thành phố,Bắc,Thiếu,Chưa hoàn thiện,Đang xuống,98,0.989
Nông thôn,Nam,Đầy đủ,Chưa hoàn thiện,Đang xuống,94,0.949
Thành phố,Đông,Đầy đủ,Đầu đủ,Đang lên,140,1.988
Thành phố,Nam,Đầy đủ,Chưa hoàn thiện,Đang lên,182,2.675
Nông thôn,Tây,Đầy đủ,Đầu đủ,Đang xuống,108,1.144
Thành phố,Đông,Thiếu,Thiếu,Đang xuống,97,0.746
Nông thôn,Nam,Thiếu,Thiếu,Ổn định,139,1.306
Thành phố,Nam,Thiếu,Thiếu,Ổn định,105,1.113
Thành phố,Tây,Đầy đủ,Đầu đủ,Đang lên,102,1.448
Nông thôn,Bắc,Thiếu,Đầu đủ,Đang lên,168,2.268
Thành phố,Bắc,Đầy đủ,Đầu đủ,Ổn định,135,1.917
Nông thôn,Nam,Thiếu,Đầu đủ,Đang xuống,91,0.919
Thành phố,Tây,Thiếu,Đầu đủ,Ổn định,185,2.275
Nông thôn,Đông,Thiếu,Thiếu,Đang xuống,118,0.826
Nông thôn,Tây,Đầy đủ,Đầu đủ,Đang xuống,103,1.091
Nông thôn,Nam,Đầy đủ,Chưa hoàn thiện,Ổn định,77,0.870
Nông thôn,Tây,Đầy đủ,Chưa hoàn thiện,Đang xuống,196,1.940
Nông thôn,Đông,Thiếu,Đầu đủ,Ổn định,153,1.698
Nông thôn,Bắc,Đầy đủ,Thiếu,Đang xuống,195,1.930
Thành phố,Bắc,Thiếu,Chưa hoàn thiện,Đang xuống,160,1.776
Thành phố,Bắc,Thiếu,Đầu đủ,Ổn định,183,2.470
Nông thôn,Đông,Đầy đủ,Thiếu,Đang xuống,142,1.164
Nông thôn,Nam,Thiếu,Chưa hoàn thiện,Ổn định,80,0.808
Nông thôn,Bắc,Thiếu,Thiếu,Đang xuống,187,1.626
Nông thôn,Đông,Đầy đủ,Chưa hoàn thiện,Ổn định,121,1.2826
Nông thôn,Tây,Đầy đủ,Thiếu,Đang xuống,163,1.4181
Thành phố,Đông,Đầy đủ,Thiếu,Ổn định,122,1.2932
Thành phố,Nam,Đầy đủ,Chưa hoàn thiện,Đang xuống,186,2.2878
